"","bacteria","timepoint",".y.","group1","group2","p","p.format","p.signif","method","p.adj","p.adj.signif","taxa_level"
"1","Actinobacteria","D26","mean","EtOH Male","Ctl Female",0.00155400155400155,"0.00155","**","Wilcoxon",0.00310800310800311,"**","phylum"
"2","Actinobacteria","D26","mean","EtOH Male","Ctl Male",0.00155400155400155,"0.00155","**","Wilcoxon",0.00310800310800311,"**","phylum"
"3","Actinobacteria","D26","mean","EtOH Male","EtOH Female",8.22706705059646e-05,"8.2e-05","****","Wilcoxon",0.000493624023035788,"***","phylum"
"4","Actinobacteria","D26","mean","Ctl Female","Ctl Male",0.0555555555555556,"0.05556","ns","Wilcoxon",0.0833333333333333,"ns","phylum"
"5","Actinobacteria","D26","mean","Ctl Female","EtOH Female",0.23976023976024,"0.23976","ns","Wilcoxon",0.23976023976024,"ns","phylum"
"6","Actinobacteria","D26","mean","Ctl Male","EtOH Female",0.23976023976024,"0.23976","ns","Wilcoxon",0.23976023976024,"ns","phylum"
"7","Bacteria_unclassified","D26","mean","EtOH Male","Ctl Female",0.222222222222222,"0.22222","ns","Wilcoxon",0.266666666666667,"ns","phylum"
"8","Bacteria_unclassified","D26","mean","EtOH Male","Ctl Male",0.0186480186480186,"0.01865","*","Wilcoxon",0.027972027972028,"*","phylum"
"9","Bacteria_unclassified","D26","mean","EtOH Male","EtOH Female",0.0152200740436035,"0.01522","*","Wilcoxon",0.027972027972028,"*","phylum"
"10","Bacteria_unclassified","D26","mean","Ctl Female","Ctl Male",0.00793650793650794,"0.00794","**","Wilcoxon",0.0238095238095238,"*","phylum"
"11","Bacteria_unclassified","D26","mean","Ctl Female","EtOH Female",0.000999000999000999,"0.00100","***","Wilcoxon",0.00599400599400599,"**","phylum"
"12","Bacteria_unclassified","D26","mean","Ctl Male","EtOH Female",1,"1.00000","ns","Wilcoxon",1,"ns","phylum"
"13","Bacteroidota","D26","mean","EtOH Male","Ctl Female",0.0295260295260295,"0.02953","*","Wilcoxon",0.0590520590520591,"ns","phylum"
"14","Bacteroidota","D26","mean","EtOH Male","Ctl Male",0.0295260295260295,"0.02953","*","Wilcoxon",0.0590520590520591,"ns","phylum"
"15","Bacteroidota","D26","mean","EtOH Male","EtOH Female",0.00246812011517894,"0.00247","**","Wilcoxon",0.0148087206910736,"*","phylum"
"16","Bacteroidota","D26","mean","Ctl Female","Ctl Male",1,"1.00000","ns","Wilcoxon",1,"ns","phylum"
"17","Bacteroidota","D26","mean","Ctl Female","EtOH Female",0.699300699300699,"0.69930","ns","Wilcoxon",0.839160839160839,"ns","phylum"
"18","Bacteroidota","D26","mean","Ctl Male","EtOH Female",0.18981018981019,"0.18981","ns","Wilcoxon",0.284715284715285,"ns","phylum"
"19","Candidatus_Saccharibacteria","D26","mean","EtOH Male","Ctl Female",0.0894057315056793,"0.08941","ns","Wilcoxon",0.268217194517038,"ns","phylum"
"20","Candidatus_Saccharibacteria","D26","mean","EtOH Male","Ctl Male",0.358631820103184,"0.35863","ns","Wilcoxon",0.508452956600152,"ns","phylum"
"21","Candidatus_Saccharibacteria","D26","mean","EtOH Male","EtOH Female",1,"1.00000","ns","Wilcoxon",1,"ns","phylum"
"22","Candidatus_Saccharibacteria","D26","mean","Ctl Female","Ctl Male",0.423710797166793,"0.42371","ns","Wilcoxon",0.508452956600152,"ns","phylum"
"23","Candidatus_Saccharibacteria","D26","mean","Ctl Female","EtOH Female",0.0622268952200788,"0.06223","ns","Wilcoxon",0.268217194517038,"ns","phylum"
"24","Candidatus_Saccharibacteria","D26","mean","Ctl Male","EtOH Female",0.375645000908265,"0.37565","ns","Wilcoxon",0.508452956600152,"ns","phylum"
"25","Firmicutes","D26","mean","EtOH Male","Ctl Female",0.00310800310800311,"0.00311","**","Wilcoxon",0.00621600621600622,"**","phylum"
"26","Firmicutes","D26","mean","EtOH Male","Ctl Male",0.00310800310800311,"0.00311","**","Wilcoxon",0.00621600621600622,"**","phylum"
"27","Firmicutes","D26","mean","EtOH Male","EtOH Female",8.22706705059646e-05,"8.2e-05","****","Wilcoxon",0.000493624023035788,"***","phylum"
"28","Firmicutes","D26","mean","Ctl Female","Ctl Male",0.69047619047619,"0.69048","ns","Wilcoxon",0.69047619047619,"ns","phylum"
"29","Firmicutes","D26","mean","Ctl Female","EtOH Female",0.018981018981019,"0.01898","*","Wilcoxon",0.0284715284715285,"*","phylum"
"30","Firmicutes","D26","mean","Ctl Male","EtOH Female",0.606393606393606,"0.60639","ns","Wilcoxon",0.69047619047619,"ns","phylum"
"31","Fusobacteria","D26","mean","EtOH Male","Ctl Female",0.210648421249306,"0.21065","ns","Wilcoxon",0.631945263747918,"ns","phylum"
"32","Fusobacteria","D26","mean","EtOH Male","Ctl Male",0.473918625756028,"0.47392","ns","Wilcoxon",0.710877938634043,"ns","phylum"
"33","Fusobacteria","D26","mean","EtOH Male","EtOH Female",0.959486386565679,"0.95949","ns","Wilcoxon",0.959486386565679,"ns","phylum"
"34","Fusobacteria","D26","mean","Ctl Female","Ctl Male",0.607235543774111,"0.60724","ns","Wilcoxon",0.728682652528933,"ns","phylum"
"35","Fusobacteria","D26","mean","Ctl Female","EtOH Female",0.139787801566035,"0.13979","ns","Wilcoxon",0.631945263747918,"ns","phylum"
"36","Fusobacteria","D26","mean","Ctl Male","EtOH Female",0.318919544570121,"0.31892","ns","Wilcoxon",0.637839089140242,"ns","phylum"
"37","Proteobacteria","D26","mean","EtOH Male","Ctl Female",0.284382284382284,"0.28438","ns","Wilcoxon",0.545454545454545,"ns","phylum"
"38","Proteobacteria","D26","mean","EtOH Male","Ctl Male",0.222222222222222,"0.22222","ns","Wilcoxon",0.545454545454545,"ns","phylum"
"39","Proteobacteria","D26","mean","EtOH Male","EtOH Female",0.16717400246812,"0.16717","ns","Wilcoxon",0.545454545454545,"ns","phylum"
"40","Proteobacteria","D26","mean","Ctl Female","Ctl Male",0.841269841269841,"0.84127","ns","Wilcoxon",0.841269841269841,"ns","phylum"
"41","Proteobacteria","D26","mean","Ctl Female","EtOH Female",0.363636363636364,"0.36364","ns","Wilcoxon",0.545454545454545,"ns","phylum"
"42","Proteobacteria","D26","mean","Ctl Male","EtOH Female",0.797202797202797,"0.79720","ns","Wilcoxon",0.841269841269841,"ns","phylum"
"43","Tenericutes","D26","mean","EtOH Male","Ctl Female",0.0210274842466082,"0.02103","*","Wilcoxon",0.0262843553082602,"*","phylum"
"44","Tenericutes","D26","mean","EtOH Male","Ctl Male",0.0210274842466082,"0.02103","*","Wilcoxon",0.0262843553082602,"*","phylum"
"45","Tenericutes","D26","mean","EtOH Male","EtOH Female",0.529132463522389,"0.52913","ns","Wilcoxon",0.529132463522389,"ns","phylum"
"46","Tenericutes","D26","mean","Ctl Female","EtOH Female",0.0154987465224652,"0.01550","*","Wilcoxon",0.0262843553082602,"*","phylum"
"47","Tenericutes","D26","mean","Ctl Male","EtOH Female",0.0154987465224652,"0.01550","*","Wilcoxon",0.0262843553082602,"*","phylum"
"48","Verrucomicrobia","D26","mean","EtOH Male","Ctl Female",0.00155400155400155,"0.00155","**","Wilcoxon",0.00310800310800311,"**","phylum"
"49","Verrucomicrobia","D26","mean","EtOH Male","Ctl Male",0.00155400155400155,"0.00155","**","Wilcoxon",0.00310800310800311,"**","phylum"
"50","Verrucomicrobia","D26","mean","EtOH Male","EtOH Female",8.22706705059646e-05,"8.2e-05","****","Wilcoxon",0.000493624023035788,"***","phylum"
"51","Verrucomicrobia","D26","mean","Ctl Female","Ctl Male",0.0952380952380952,"0.09524","ns","Wilcoxon",0.114285714285714,"ns","phylum"
"52","Verrucomicrobia","D26","mean","Ctl Female","EtOH Female",0.028971028971029,"0.02897","*","Wilcoxon",0.0434565434565435,"*","phylum"
"53","Verrucomicrobia","D26","mean","Ctl Male","EtOH Female",0.699300699300699,"0.69930","ns","Wilcoxon",0.699300699300699,"ns","phylum"
